address,full_address,HDB_latitude,HDB_longitude,Nearest_MRT_ID,Nearest_MRT,MRT_latitude,MRT_longitude,Nearest_bus_stop_ID,Nearest_bus_stop,bus_stop_latitude,bus_stop_longitude,Distance_m_Nearest_MRT,Distance_m_Nearest_bus_stop
309 ANG MO KIO AVE 1,309 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 569953,1.377016516,103.8347334,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,56259,HORIZON GDNS,1.37684444,103.8348403,567.4519532,22.43854649
216 ANG MO KIO AVE 1,216 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560216,1.366196788,103.841505,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54611,BLK 220,1.3648947,103.8405742,852.3984155,177.371608
211 ANG MO KIO AVE 3,211 ANG MO KIO AVENUE 3 SINGAPORE 560211,1.369196966,103.8416666,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54231,BLK 129,1.36966012,103.8419391,632.7405018,59.51797317
202 ANG MO KIO AVE 3,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,1.36844644,103.8445163,NS16,ANG MO KIO MRT STATION,1.369856575,103.8495803,54239,BLK 209,1.36918609,103.8433202,584.7349356,156.234512
235 ANG MO KIO AVE 3,235 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560235,1.366823609,103.8364912,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54621,BLK 223,1.36595331,103.8377307,618.3263966,168.1933689
232 ANG MO KIO AVE 3,232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232,1.368346068,103.837196,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54219,OPP MAYFLOWER SEC SCH,1.36880777,103.836794,448.6632965,67.88474353
308 ANG MO KIO AVE 1,308C ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 563308,1.36569665,103.8443473,NS16,ANG MO KIO MRT STATION,1.369856575,103.8495803,54019,BLK 307A,1.36618666,103.8441833,742.1182568,57.17309625
220 ANG MO KIO AVE 1,220 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560220,1.365588336,103.8405189,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54611,BLK 220,1.3648947,103.8405742,850.9979912,76.94497729
219 ANG MO KIO AVE 1,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,1.36598198,103.840654,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54611,BLK 220,1.3648947,103.8405742,820.1949629,120.5536849
320 ANG MO KIO AVE 1,320 ANG MO KIO AVENUE 1 STAR LEARNERS @ ANG MO KIO PTE. LTD. SINGAPORE 560320,1.365592446,103.8483867,NS16,ANG MO KIO MRT STATION,1.369856575,103.8495803,54081,TECK GHEE CT,1.36358972,103.8478669,489.8594666,228.880924
223 ANG MO KIO AVE 1,223 ANG MO KIO AVENUE 1 SINGAPORE 560223,1.366048084,103.8381227,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54621,BLK 223,1.36595331,103.8377307,713.9204671,44.86490058
230 ANG MO KIO AVE 3,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230,1.368854452,103.8378964,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54219,OPP MAYFLOWER SEC SCH,1.36880777,103.836794,405.4705442,122.7979238
329 ANG MO KIO AVE 3,329 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560329,1.366599086,103.8468744,NS16,ANG MO KIO MRT STATION,1.369856575,103.8495803,54247,BLK 322,1.36873836,103.8471931,469.4926004,239.1935233
313 ANG MO KIO AVE 3,313 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560313,1.366649726,103.8501337,NS16,ANG MO KIO MRT STATION,1.369856575,103.8495803,54331,BLK 346,1.36719473,103.8505685,359.9055249,77.28250047
117 ANG MO KIO AVE 4,117 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560117,1.373717083,103.8356105,TE6,MAYFLOWER MRT STATION,1.372396217,103.8369526,54191,MAYFLOWER STN EXIT 2,1.37447193,103.837564,208.9022564,232.8769647
